Sub_category
Admission Promotion
Advertiesment Expenses
AICTE
Amenities&other infrastructure and support facilites
AU Recognition & Registration Fees
Auditing & Acounting Charges
Bank Charges
Books
Building Maintenance
Counsellor Fee
Career Guidance programme
Certification Programs
Clubs organizing events and Programes
CoE Office
Communication Facilities
Comunication Development Programe
Computing facilites
Consortium fee
Consumables
Doctor
Electicity Charges
Employees Insurance
"Employees Welfare & Fee concession, Perks"
Employability Enhancement {Program
Employers Contribution to PF & ESI
Engineering Graphics Instruments
Entrance Examination
Extension and Outreach Programmes
External Training Providers
Faculty Development Programme
Furniture facilites
Free Concession
Genral Maintenance
Hand book
Hostel Maintenance
Hostel Rent to RCL
House Keeping
IIC organizing events and Programes
Industrial Visit
Incentives
Insuranceto building lab Equpments and students
Internet & Wifi
Internship
IPT
ISO
IITM PALS
IUCEE
Learning Materials
Library
Licenses Fire
Magazine and News letter
Maintenance and Solar Panel
Maintanance and Service
Make up exam fee
Makeup exam
Maintenance and Solar Panel
Make up exam fee
Medical Examination
Membership Fee
Mess charges
Miscellaneous Expenses
NBA
NCC
NAAC
National International Events
Notes
NSS
NISP organizing events and Programes
Office Maintenance
Online Course
Online platforms
Online Training Platform for aptitude and Programming
Other Stationery
Patterns
Personality Development Programme
Pooja expenses
Pre-employment Medical Expenses
Professional Society Activites
R&D activities
RRC
Research Centers
Science Day and other functions
Skill Development Programme
Software Renewal
Sponsorship for projects
Sponsorship to faculty
Sponsorship to Students for participation
Sports
Staff Recuritment Events
Staff Recruitment Expenses
Staff Recuritment Programme
Stationery
Student Affairs Office
Student Center Fee
Students Scholarships
Technical Association
Technical Association/Professional Society Activites
Taxes
Term Loan Intrest-IOB & PGB
Training and Travel
UGC
University
Value Added courses
Vehicle fuels
Vehicle Insurance
Vehicle Maintenance
Vehicle Tax
Visits of Industries
YRC
